country,value
austria,252122
belgium,83216
bulgaria,86678
canada,753736
chili,101993
croatia,24398
czechia,231343
denmark,168532
estonia,24198
finland,125255
france,1156359
germany,2093000
greece,99085
hungary,113109
iceland,6783
ireland,140224
isreal,154000
italy,809241
korea,783573
latvia,22959
lithuania,58502
mexico,761295
netherland,313026
norway,197485
poland,587281
portugal,185581
romania,48212
solvenia,18768
spain,708853
switzerland,261909
tã¼rkiye,921750
united kingdom,1730199
united states of america,8112228
